,Fecha,Humedad,Averias,EnergiaSolar,EnergiaEolica,LuzHabitacion1,LuzHabitacion2,LuzSalon,LuzCocina,LuzBaño1,LuzBaño2,LuzDespacho,LuzExterior,ConsumoAguaDucha1,ConsumoAguaDucha2,ConsumoAguaWC1,ConsumoAguaWC2,ConsumoAguaLavabo1,ConsumoAguaLavabo2,ConsumoAguaLavadora,ConsumoAguaLavavajillas,ConsumoAguaFregadero,ConsumoAguaExterior,ConsumoAguaBaño1,ConsumoAguaBaño2,ConsumoAguaCocina,GastoAguaTotal,ConsumoVitroceramica,ConsumoFrigorifico,ConsumoLavadora,ConsumoHorno,ConsumoTelevision,ConsumoMicroondas,ConsumoLavavajillas,GastoLuzTotal,Amanecer,Atardecer,DuracionDia,Precipitaciones,TemperaturaMax,TemperaturaMin,Viento,PresionMax,PresionMin,TempHabitacion1,TempHabitacion2,TempSalon,TempCocina,TempBaño1,TempBaño2,TempDespacho,VentanaHabitacion1,VentanaHabitacion2,VentanaSalon,VentanaCocina,VentanaBaño1,VentanaBaño2,VentanaDespacho,PersianaHabitacion1,PersianaHabitacion2,PersianaSalon,PersianaCocina,PersianaBaño1,PersianaBaño2,PersianaDespacho
10,2015-01-01 10:00:00,71,0,0.2,0.0,0.32,0.24,0.3,0.38,0.07,0.07,0.18,0.03,155,58,139,68,91,53,0,6.5,100,12,385,179,106.5,670.5,3.3,19.5,0.17,0.3,0.943,0.3,0.366,26.469000000000005,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,19,31,4,16,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,1
11,2015-01-01 11:00:00,74,2,0.1,0.0,0.23,0.15,0.25,0.58,0.07,0.07,0.2,0.03,141,79,129,68,64,42,0,10.0,32,24,334,189,42.0,565.0,3.4,18.5,0.46,0.11,1.02,1.0,0.194,26.264,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,0,37,27,6,0,0,33,0,1,0,0,0,1,1,0,1,1,0,0,1,1
12,2015-01-01 12:00:00,72,2,0.27,0.0,0.19,0.2,0.21,0.55,0.08,0.07,0.18,0.02,137,90,130,56,116,46,62,0.0,35,0,383,192,97.0,672.0,2.5,18.9,0.86,0.59,0.707,1.6,0.274,26.931,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,7,37,21,24,0,0,10,0,0,1,1,0,0,0,1,1,1,0,1,0,1
13,2015-01-01 13:00:00,74,2,0.13,0.0,0.32,0.2,0.18,0.36,0.08,0.08,0.3,0.02,196,97,113,61,91,57,0,0.0,73,12,400,215,73.0,688.0,3.8,19.9,0.12,0.32,0.281,0.1,0.248,26.309,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,22,28,26,14,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0
14,2015-01-01 14:00:00,74,0,0.18,0.0,0.29,0.15,0.23,0.49,0.08,0.07,0.26,0.02,190,66,124,57,62,36,42,6.5,17,24,376,159,65.5,600.5,2.5,18.0,0.65,0.13,1.043,0.6,0.052,24.564999999999998,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,3,8,19,12,0,0,30,0,0,1,1,0,0,1,0,0,0,0,0,1,1
15,2015-01-01 15:00:00,74,2,0.13,0.0,0.19,0.19,0.3,0.58,0.06,0.08,0.26,0.02,164,54,128,59,116,30,42,18.0,11,12,408,143,71.0,622.0,3.5,18.3,0.58,0.47,1.357,1.8,0.146,27.833,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,36,33,13,7,0,0,2,0,1,0,1,1,1,1,1,1,0,0,0,0,0
16,2015-01-01 16:00:00,71,0,0.32,0.0,0.24,0.14,0.23,0.54,0.07,0.07,0.22,0.02,112,79,113,61,107,30,0,14.0,35,12,332,170,49.0,551.0,2.2,18.8,0.11,0.44,0.663,1.2,0.172,25.115000000000002,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,39,16,30,28,0,0,32,0,0,1,1,0,1,0,1,0,1,0,1,1,0
17,2015-01-01 17:00:00,73,0,0.13,0.0,0.3,0.15,0.3,0.54,0.07,0.09,0.19,0.03,103,98,123,68,108,45,0,10.0,44,0,334,211,54.0,599.0,1.1,18.2,0.65,0.73,0.956,1.9,0.214,25.419999999999995,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,12,18,39,28,0,0,37,0,0,1,1,0,0,1,0,1,1,1,1,1,0
18,2015-01-01 18:00:00,74,0,0.1,0.0,0.26,0.16,0.24,0.51,0.08,0.07,0.22,0.02,184,81,132,64,112,24,42,0.0,81,12,428,169,123.0,720.0,1.0,19.3,0.55,0.38,0.015,0.4,0.122,23.326999999999998,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,28,8,11,19,0,0,21,1,0,1,1,1,1,1,1,1,0,1,0,0,0
19,2015-01-01 19:00:00,75,2,0.16,0.0,0.31,0.17,0.27,0.6,0.06,0.08,0.29,0.02,102,56,120,68,55,35,42,0.0,60,24,277,159,102.0,538.0,2.6,21.1,0.13,0.23,1.545,0.5,0.446,28.351000000000003,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,15,27,17,17,0,0,19,1,0,1,1,1,0,0,1,1,0,1,1,0,0
20,2015-01-01 20:00:00,72,2,0.13,0.0,0.22,0.14,0.23,0.58,0.08,0.08,0.21,0.03,142,93,134,65,95,27,50,18.0,10,0,371,185,78.0,634.0,2.9,21.7,0.38,0.71,0.737,1.0,0.073,29.069999999999997,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,21,31,17,20,0,0,8,1,1,0,0,0,1,1,0,0,1,0,1,1,1
21,2015-01-01 21:00:00,73,1,0.19,0.0,0.19,0.17,0.25,0.45,0.06,0.08,0.22,0.03,192,68,122,62,95,35,62,10.0,39,24,409,165,111.0,685.0,1.0,20.9,0.0,0.5,0.656,0.9,0.343,25.748999999999995,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,26,38,28,9,0,0,25,1,0,0,0,0,0,1,0,1,0,0,1,0,1
22,2015-01-01 22:00:00,71,0,0.14,0.0,0.25,0.23,0.24,0.41,0.08,0.06,0.28,0.03,162,72,125,65,61,34,50,6.5,82,24,348,171,138.5,657.5,2.2,19.9,0.44,0.54,1.292,1.3,0.46,27.712000000000003,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,3,10,22,21,0,0,32,0,1,0,1,1,0,0,0,1,0,1,0,0,1
23,2015-01-01 23:00:00,72,0,0.32,0.0,0.27,0.19,0.2,0.59,0.07,0.06,0.21,0.02,196,95,114,68,115,51,42,10.0,43,24,425,214,95.0,734.0,0.1,20.4,0.12,0.44,0.479,1.4,0.394,24.942999999999998,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,25,32,39,18,0,0,28,1,0,0,0,0,0,1,0,0,1,0,0,1,0
24,2015-01-02 00:00:00,72,0,0.33,0.0,0.27,0.24,0.22,0.45,0.06,0.09,0.3,0.02,133,75,124,65,103,48,62,0.0,34,12,360,188,96.0,644.0,2.6,19.3,0.68,0.38,1.332,0.2,0.262,26.404,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,10,30,24,26,0,0,37,0,1,0,0,1,1,1,0,1,1,0,1,0,0
25,2015-01-02 01:00:00,71,0,0.21,0.0,0.26,0.19,0.3,0.47,0.06,0.06,0.3,0.03,163,75,131,68,73,55,42,6.5,7,0,367,198,55.5,620.5,0.8,21.1,0.64,0.25,1.07,1.9,0.297,27.727,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,29,8,16,38,0,0,35,1,1,1,0,0,1,1,0,1,0,0,0,1,0
26,2015-01-02 02:00:00,71,0,0.23,0.0,0.31,0.17,0.25,0.36,0.06,0.08,0.21,0.03,124,51,114,56,107,43,62,14.0,2,24,345,150,78.0,573.0,4.2,19.8,0.4,0.31,0.772,0.8,0.21,27.961999999999996,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,19,0,36,25,0,0,9,0,0,1,1,1,0,0,0,1,1,1,1,0,0
27,2015-01-02 03:00:00,74,0,0.32,0.0,0.31,0.2,0.21,0.4,0.06,0.07,0.19,0.02,138,63,126,65,68,37,50,0.0,37,0,332,165,87.0,584.0,4.4,21.7,0.87,0.05,0.445,1.3,0.462,30.687,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,8,34,7,26,0,0,7,1,0,1,1,0,0,0,0,0,0,0,0,1,1
28,2015-01-02 04:00:00,73,0,0.18,0.0,0.28,0.18,0.18,0.39,0.08,0.06,0.24,0.03,171,96,123,68,81,43,62,10.0,34,0,375,207,106.0,688.0,0.9,21.6,0.57,0.65,0.979,0.6,0.004,26.743000000000002,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,18,9,17,33,0,0,7,1,1,1,1,1,1,1,0,0,0,0,0,1,0
29,2015-01-02 05:00:00,72,1,0.3,0.0,0.32,0.14,0.2,0.57,0.09,0.06,0.27,0.02,180,75,135,63,97,54,42,14.0,103,12,412,192,159.0,763.0,4.7,20.0,0.2,0.27,0.782,1.6,0.466,29.688000000000002,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,9,22,5,7,0,0,16,0,0,1,1,1,0,0,0,0,1,1,0,1,1
30,2015-01-02 06:00:00,75,0,0.27,0.0,0.2,0.17,0.27,0.41,0.07,0.08,0.3,0.02,126,82,138,69,96,43,62,10.0,42,24,360,194,114.0,668.0,4.5,19.6,0.79,0.62,1.487,1.8,0.348,30.665000000000003,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,0,34,16,18,0,0,32,1,1,0,0,1,0,1,1,0,1,1,1,0,1
31,2015-01-02 07:00:00,73,0,0.15,0.0,0.31,0.19,0.25,0.41,0.06,0.06,0.26,0.02,190,62,112,57,52,34,62,18.0,112,0,354,153,192.0,699.0,3.2,18.6,0.11,0.46,1.332,0.2,0.043,25.505,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,18,2,28,11,0,0,39,1,1,0,0,0,0,0,0,1,1,1,1,0,1
32,2015-01-02 08:00:00,74,0,0.32,0.0,0.26,0.19,0.24,0.59,0.06,0.09,0.18,0.02,109,99,123,67,85,59,62,10.0,53,12,317,225,125.0,667.0,1.6,20.8,0.79,0.56,1.233,1.0,0.371,27.983999999999998,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,23,0,29,27,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0
33,2015-01-02 09:00:00,72,2,0.12,0.0,0.24,0.18,0.23,0.46,0.07,0.07,0.21,0.02,143,97,114,57,70,26,50,10.0,74,12,327,180,134.0,641.0,1.6,18.3,0.4,0.12,0.331,2.1,0.016,24.347,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,29,39,26,1,0,0,7,1,1,1,0,0,1,0,1,1,1,1,1,0,0
34,2015-01-02 10:00:00,75,0,0.23,0.0,0.3,0.17,0.24,0.6,0.09,0.08,0.29,0.02,130,99,120,58,111,37,42,10.0,27,12,361,194,79.0,634.0,0.2,19.4,0.57,0.15,0.462,1.8,0.487,24.858999999999998,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,32,11,6,9,0,0,13,1,1,1,0,0,0,0,0,1,1,1,0,1,0
35,2015-01-02 11:00:00,75,2,0.34,0.0,0.27,0.22,0.18,0.37,0.07,0.06,0.28,0.03,191,63,115,67,91,36,50,6.5,94,0,397,166,150.5,713.5,4.7,20.9,0.09,0.08,0.361,0.7,0.335,28.645999999999997,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,18,23,8,1,0,0,2,0,0,0,1,0,0,1,1,1,0,1,0,0,1
36,2015-01-02 12:00:00,74,0,0.23,0.0,0.3,0.2,0.29,0.6,0.09,0.08,0.27,0.02,194,67,120,59,111,35,62,6.5,60,24,425,161,128.5,714.5,0.8,21.7,0.96,0.69,1.054,0.1,0.328,27.482000000000003,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,30,34,3,17,0,0,15,1,0,0,1,0,1,0,0,1,1,0,0,1,0
37,2015-01-02 13:00:00,71,0,0.33,0.0,0.19,0.14,0.18,0.43,0.06,0.08,0.22,0.03,199,54,112,65,90,45,62,6.5,11,0,401,164,79.5,644.5,0.1,18.7,0.2,0.61,1.516,1.8,0.097,24.352999999999998,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,5,38,0,35,0,0,35,0,0,0,1,0,1,0,0,0,1,0,0,0,1
38,2015-01-02 14:00:00,71,0,0.11,0.0,0.22,0.2,0.23,0.47,0.08,0.09,0.27,0.03,164,68,120,61,97,27,62,18.0,21,12,381,156,101.0,638.0,4.1,20.6,0.54,0.3,0.373,0.1,0.065,27.668000000000003,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,1,35,7,24,0,0,24,1,1,1,1,1,1,1,1,0,1,1,1,1,0
39,2015-01-02 15:00:00,73,0,0.33,0.0,0.2,0.23,0.19,0.38,0.08,0.07,0.3,0.02,109,79,121,66,101,57,62,0.0,40,0,331,202,102.0,635.0,3.1,20.1,0.87,0.67,0.279,1.4,0.438,28.327,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,34,33,13,11,0,0,39,0,0,1,1,0,1,1,1,1,0,0,1,1,1
40,2015-01-02 16:00:00,72,0,0.19,0.0,0.2,0.22,0.29,0.41,0.06,0.08,0.18,0.02,168,51,133,59,59,50,0,18.0,71,24,360,160,89.0,609.0,4.3,20.4,0.58,0.77,1.202,1.1,0.437,30.249,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,23,23,30,24,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,1,1
41,2015-01-02 17:00:00,73,0,0.31,0.0,0.27,0.21,0.27,0.45,0.07,0.06,0.3,0.03,154,77,125,63,115,28,50,10.0,1,0,394,168,61.0,623.0,1.6,21.2,0.71,0.66,0.934,0.4,0.485,27.649,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,22,27,1,19,0,0,32,1,0,1,1,0,0,1,1,0,0,0,0,1,1
42,2015-01-02 18:00:00,71,2,0.28,0.0,0.19,0.22,0.18,0.39,0.07,0.09,0.2,0.02,175,70,126,60,54,59,50,14.0,21,24,355,189,85.0,629.0,3.6,18.7,0.98,0.36,0.729,0.5,0.356,26.585,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,36,7,21,27,0,0,6,1,1,1,1,0,0,0,1,1,0,0,1,0,1
43,2015-01-02 19:00:00,73,0,0.12,0.0,0.28,0.14,0.18,0.52,0.07,0.07,0.25,0.02,160,60,115,69,118,57,50,6.5,64,24,393,186,120.5,699.5,3.4,21.5,0.29,0.59,0.294,1.1,0.339,29.043,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,15,20,24,38,0,0,7,1,1,1,0,1,0,1,0,0,0,0,1,0,0
44,2015-01-02 20:00:00,73,1,0.11,0.0,0.31,0.2,0.23,0.42,0.07,0.06,0.18,0.03,163,85,120,61,77,31,50,14.0,21,12,360,177,85.0,622.0,3.6,19.1,0.33,0.15,1.26,1.6,0.133,27.673000000000002,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,26,4,30,1,0,0,10,1,0,1,0,0,0,1,0,0,1,0,1,1,1
45,2015-01-02 21:00:00,73,0,0.31,0.0,0.19,0.18,0.19,0.6,0.07,0.08,0.29,0.02,188,87,112,64,82,59,42,0.0,6,24,382,210,48.0,640.0,3.7,20.2,0.01,0.56,1.007,0.2,0.208,27.505,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,4,36,2,17,0,0,16,0,0,1,0,1,1,0,0,0,1,1,1,1,1
46,2015-01-02 22:00:00,72,2,0.24,0.0,0.29,0.2,0.21,0.36,0.06,0.07,0.19,0.02,151,64,119,69,55,36,50,18.0,3,24,325,169,71.0,565.0,2.7,18.1,0.23,0.14,0.403,0.6,0.483,24.056000000000004,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,31,8,31,30,0,0,29,0,1,1,1,0,0,1,0,1,0,1,0,0,1
47,2015-01-02 23:00:00,75,1,0.26,0.0,0.21,0.14,0.28,0.37,0.06,0.08,0.3,0.02,122,50,114,69,72,30,42,14.0,37,24,308,149,93.0,550.0,1.9,20.8,0.35,0.74,0.651,2.1,0.382,28.383000000000003,08:38:00,17:58:00,09:20:00,0.0,11.6,-0.2,2.16,952.5,948.3,16,17,17,7,0,0,21,0,1,0,0,1,0,1,1,0,0,1,1,0,0
48,2015-01-03 00:00:00,75,0,0.34,0.0,0.29,0.16,0.21,0.44,0.06,0.08,0.22,0.02,197,76,127,63,103,46,62,18.0,1,24,427,185,81.0,693.0,1.4,19.5,0.97,0.12,0.207,0.7,0.473,24.849999999999998,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,7,32,14,15,0,0,7,0,0,1,0,1,0,1,0,0,0,0,0,1,1
49,2015-01-03 01:00:00,73,0,0.2,0.0,0.27,0.16,0.24,0.46,0.08,0.07,0.25,0.03,194,63,134,61,73,38,0,10.0,29,24,401,162,39.0,602.0,2.5,19.5,0.17,0.17,1.285,2.2,0.335,27.720000000000006,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,33,4,20,13,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0
50,2015-01-03 02:00:00,75,0,0.1,0.0,0.3,0.17,0.28,0.37,0.06,0.08,0.18,0.03,120,98,133,57,70,43,50,10.0,72,24,323,198,132.0,653.0,2.4,21.2,0.17,0.5,0.187,2.3,0.291,28.518000000000004,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,33,15,33,11,0,0,38,0,0,0,1,0,1,1,1,1,0,1,0,0,1
51,2015-01-03 03:00:00,74,1,0.32,0.0,0.24,0.23,0.3,0.49,0.07,0.07,0.26,0.02,138,82,138,56,86,31,50,6.5,99,24,362,169,155.5,686.5,3.8,20.5,0.26,0.49,1.408,1.0,0.47,29.608,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,10,5,34,19,0,0,28,1,1,0,0,1,1,1,0,0,0,0,0,0,1
52,2015-01-03 04:00:00,75,0,0.26,0.0,0.29,0.17,0.21,0.4,0.08,0.09,0.29,0.03,115,98,136,56,61,40,62,6.5,0,0,312,194,68.5,574.5,2.3,18.3,0.36,0.46,0.921,2.3,0.437,26.638,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,19,38,13,11,0,0,30,1,1,1,1,0,0,1,0,1,0,0,1,1,1
53,2015-01-03 05:00:00,73,1,0.17,0.0,0.23,0.18,0.2,0.38,0.07,0.07,0.29,0.03,118,65,138,59,88,33,50,14.0,73,0,344,157,137.0,638.0,2.5,18.7,0.71,0.59,0.744,2.2,0.154,27.048,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,29,22,1,19,0,0,36,1,1,1,1,1,0,1,1,1,0,0,0,0,0
54,2015-01-03 06:00:00,73,0,0.34,0.0,0.26,0.14,0.19,0.54,0.09,0.09,0.18,0.02,196,63,121,66,103,42,0,0.0,24,12,420,171,24.0,615.0,2.9,21.7,0.42,0.43,0.247,0.1,0.026,27.333000000000002,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,34,12,37,1,0,0,16,1,0,0,0,1,0,1,1,1,0,0,0,1,1
55,2015-01-03 07:00:00,71,0,0.3,0.0,0.23,0.16,0.25,0.56,0.09,0.08,0.19,0.02,197,67,114,56,70,34,0,10.0,117,12,381,157,127.0,665.0,2.7,19.7,0.05,0.71,0.467,2.2,0.12,27.527,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,27,11,24,28,0,0,15,1,0,1,1,0,0,1,0,1,0,0,0,0,1
56,2015-01-03 08:00:00,75,0,0.14,0.0,0.31,0.24,0.3,0.36,0.07,0.07,0.27,0.03,115,90,124,56,90,57,42,14.0,57,24,329,203,113.0,645.0,4.5,18.9,0.06,0.31,1.029,2.3,0.337,29.085999999999995,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,16,16,22,9,0,0,9,0,0,1,0,0,1,0,0,0,0,1,1,1,0
57,2015-01-03 09:00:00,75,0,0.12,0.0,0.21,0.15,0.25,0.57,0.07,0.09,0.28,0.02,155,96,133,66,103,44,50,14.0,35,0,391,206,99.0,696.0,0.6,21.0,0.14,0.57,1.116,1.2,0.378,26.644000000000002,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,29,24,33,8,0,0,14,0,0,1,0,0,1,0,1,0,1,0,1,1,1
58,2015-01-03 10:00:00,74,0,0.29,0.0,0.19,0.24,0.25,0.43,0.07,0.07,0.3,0.03,172,66,113,67,96,56,42,18.0,52,12,381,189,112.0,682.0,3.1,21.9,0.67,0.16,1.384,2.1,0.228,31.122000000000003,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,16,29,23,12,0,0,24,0,0,0,0,0,1,0,1,0,0,0,1,1,1
59,2015-01-03 11:00:00,74,0,0.29,0.0,0.26,0.21,0.24,0.51,0.06,0.06,0.18,0.02,187,66,121,59,106,29,0,10.0,105,24,414,154,115.0,683.0,2.5,18.1,0.32,0.33,0.411,0.8,0.016,24.017,08:38:00,17:59:00,09:20:00,0.0,11.8,2.8,2.16,951.4,949.0,33,0,26,28,0,0,5,0,1,1,1,1,1,0,1,1,0,0,1,1,0
